Basin,NSE
04161580,0.6653240025043488
03574500,0.8271691501140594
09066200,0.7562001347541809
03498500,0.88161750882864
04213000,0.6579127907752991
02011400,0.7011497914791107
02102908,0.10835832357406616
05525500,0.8398482352495193
02349900,0.7438263297080994
02046000,0.6320361196994781
02374500,0.1624743938446045
13023000,0.8883639797568321
09505800,0.7390501201152802
05495000,0.8048868179321289
08189500,0.7295271754264832
02014000,0.7787245512008667
02074500,0.6904865205287933
02472500,0.8025667667388916
02469800,0.7046368420124054
04256000,0.8418813049793243
06440200,0.46547335386276245
01639500,0.8214960098266602
06910800,0.7342549860477448
03500000,0.5653994977474213
11124500,0.8346703052520752
02140991,0.8745718002319336
06404000,0.5929524004459381
06853800,0.49547892808914185
14020000,0.8274432569742203
08176900,0.49893051385879517
10259000,0.7551924586296082
08267500,0.6343603134155273
05591550,0.6328894793987274
05503800,0.6661116182804108
06803510,-0.4126746654510498
09352900,0.7643157690763474
06278300,0.7432511448860168
03604000,0.8177260160446167
11176400,0.7291953861713409
01440000,0.7652105242013931
02297310,0.7452052235603333
05393500,0.8210361748933792
06431500,-0.7777453660964966
01557500,0.8169813007116318
02111180,0.7243419587612152
06917000,0.7331021130084991
05592050,0.7888183742761612
05487980,0.737135112285614
08196000,0.18844681978225708
02371500,0.7920594364404678
05495500,0.8341382592916489
09306242,0.17854148149490356
01451800,0.8374102115631104
10234500,0.8960218727588654
04233000,0.814364954829216
11141280,0.6556673049926758
02350900,0.7007283270359039
09505350,0.6329706311225891
02361000,0.7263200879096985
06903400,0.6908383965492249
06879650,0.38043975830078125
02152100,0.7039999067783356
08377900,0.6012738943099976
02055100,0.6883772015571594
02300700,0.6651267409324646
03463300,0.8645409196615219
12144000,0.7531938701868057
02056900,0.82374307513237
09510200,0.8710620999336243
08164600,0.8119058758020401
02149000,0.3411905765533447
04115265,0.40009522438049316
03015500,0.8561229705810547
03500240,0.8323133885860443
14137000,0.7968946397304535
06814000,0.6952259838581085
09065500,0.8837693184614182
06876700,0.574572741985321
09512280,-0.32744300365448
12035000,0.8837218731641769
02178400,0.8238198012113571
06885500,0.7889064103364944
03241500,0.7293900549411774
12143600,0.8186672627925873
03186500,0.8162826299667358
02202600,0.8030448108911514
12145500,0.860428586602211
11266500,0.877970889210701
07299670,0.1803957223892212
09081600,0.9050614982843399
06601000,0.6539581120014191
08178880,0.5337779223918915
14141500,0.8640607446432114
06291500,0.698257714509964
08271000,0.8562142252922058
08070200,0.6926231682300568
02111500,0.8563410639762878
04059500,0.7649734616279602
07057500,0.5596866011619568
08070000,0.727891355752945
07315200,0.42965197563171387
06632400,0.8667326867580414
02372250,0.806589886546135
12147500,0.793179914355278
03368000,0.7191082835197449
14138900,0.8274883478879929
06918460,0.25728076696395874
02472000,0.8562089055776596
06803530,-0.027490735054016113
02246000,0.8000768423080444
04224775,0.7308927178382874
05444000,0.02781820297241211
03366500,0.81057208776474
02118500,0.7797608971595764
02143000,0.9052219092845917
08158810,0.5888337194919586
03280700,0.7815896272659302
12010000,0.7960453629493713
08066200,0.678761750459671
02196000,0.751726821064949
11475560,0.7410911917686462
08013000,0.7678356766700745
11478500,0.8530387431383133
12056500,0.770456001162529
02092500,0.7271291017532349
08380500,0.5769087970256805
12040500,0.7645512968301773
02221525,0.7246626615524292
09066300,0.8856307417154312
01516500,0.6356030702590942
14305500,0.8510265052318573
01591400,0.6875475347042084
07362587,0.7693680077791214
02016000,0.8445914536714554
03479000,0.8885290026664734
04127918,0.4401240944862366
11230500,-0.013466954231262207
02450250,0.8529546409845352
01139000,0.7972878217697144
01439500,0.8090518862009048
01411300,0.7221404016017914
02481510,0.714046061038971
02299950,0.7197874784469604
10244950,0.8331510722637177
08086212,0.25065892934799194
03237500,0.8324855864048004
02053800,0.6366959512233734
01544500,0.8582224696874619
03471500,0.7872603088617325
09035900,0.9288347139954567
07261000,0.566420316696167
09210500,0.8505043536424637
04057800,0.8269151598215103
01487000,0.7268548309803009
13018300,0.8618987500667572
09447800,-14.105359077453613
03049000,0.8333541452884674
07362100,0.7841422706842422
07340300,0.762651190161705
05399500,0.60209059715271
14236200,0.7934062778949738
01054200,0.7962501794099808
05413500,-0.20860278606414795
14139800,0.8368144035339355
02065500,0.6789144277572632
03285000,0.7565826326608658
11473900,0.8713822811841965
03140000,0.624204695224762
12167000,0.7933478802442551
04015330,0.7693784832954407
02059500,0.7075048685073853
06280300,0.8918690904974937
03170000,0.7170431911945343
01568000,0.8219285905361176
01539000,0.8819142058491707
01423000,0.8560436218976974
05501000,0.7643231898546219
06889500,0.8091976493597031
03010655,0.8190585225820541
14138870,0.8760004118084908
01365000,0.663966178894043
12178100,0.838493749499321
03346000,0.7524439543485641
05458000,0.7042220234870911
08165300,-1.064678430557251
05120500,0.33142608404159546
02465493,0.6640149056911469
08202700,0.5770792663097382
12186000,0.6809516847133636
02297155,0.5758563280105591
01580000,0.19339656829833984
02245500,0.5865671932697296
02198100,0.5327518880367279
11264500,0.8547260165214539
01078000,0.8563486635684967
06889200,0.8527651131153107
14309500,0.8520101308822632
01586610,0.675672173500061
06352000,0.2016419768333435
01142500,0.8530212789773941
02415000,0.8334202617406845
01484100,0.4764987826347351
08171300,0.5845844745635986
14301000,0.9426254518330097
12013500,0.9003546759486198
03173000,0.7738073170185089
09223000,0.8945903405547142
05595730,0.7463887333869934
13011900,0.9138918966054916
12447390,0.837688758969307
06921200,0.7762835025787354
03455500,0.8443048894405365
03049800,0.6160362362861633
03078000,0.8503153324127197
06311000,0.7862688899040222
11237500,0.7647606432437897
05291000,0.6485181748867035
11476600,0.8884966000914574
